Feature Area,Scenario,Message
Brand Request,A directly-assigned artist declines a brand request,"Title: ""Brand Request Declined"". Body: ""[Artist Name] has denied [Brand Name] [Campaign Name] brand request [Order Number] for [Client Name]"""
Brand Request,An artist accepts a brand request,"Title: ""Brand Request Accepted"". Body: ""[Artist Name] accepted your [Campaign Name] brand request [Order Number]. Final amount: $[Amount]."" (Group/brand-paid orders add: "" Pay to confirm."")"
Brand Request,An artist marks a brand request as completed,"Title: ""Brand Request Completed"". To Brand: ""[Artist Name] has completed your [Campaign Name] brand request [Order Number] for [Client Name]"". To Client: ""Your [Campaign Name] Brand request [Order Number] is completed by [Artist Name]"""
Brand Request,Admin copy — a brand request is completed,"Title: ""Brand Request Completed"". Body: ""[Artist Name] has completed [Brand Name] [Campaign Name] brand request [Order Number] for [Client Name]"""
Brand Request,An artist marks a brand request as shipped,"Title: ""Brand Request Shipped"". Body (sent to both Brand and Client): ""[Artist Name] has shipped your [Campaign Name] on [Shipped Date]"""
Brand Request,Admin copy — a brand request is shipped,"Title: ""Brand Request Shipped"". Body: ""[Artist Name] has shipped [Brand Name] [Campaign Name] brand request [Order Number] to [Client Name]"""
Brand Request,An artist marks a brand request as delivered,"Title: ""Brand Request Delivered"". To Brand: ""Delivered: [Campaign Name] brand request [Order Number] to [Client Name]"". To Artist (self-copy): ""You marked [Campaign Name] brand request [Order Number] as delivered to [Client Name]"". To Client: ""Your [Campaign Name] Brand request [Order Number] has been delivered"""
Brand Request,Remaining artist pool is informed a brand request is no longer available after delivery,"Title: ""Brand Request Delivered"". Body: ""Delivered: [Campaign Name] brand request [Order Number] to [Client Name]"""
Brand Request,Admin copy — a brand request is delivered,"Title: ""Brand Request Delivered"". Body: ""Delivered: [Campaign Name] brand request [Order Number] to [Client Name]"""
Brand Request,Payment is completed on a brand order,"Title: ""Payment Done"". Body: ""Client completed payment for your accepted request."" (or, when an order number is available) ""Payment completed for order [Order Number]."""
Brand Request,A brand request auto-expires without being accepted,"Title: ""Brand Request Expired"". To Brand: ""Your [Campaign Name] brand request [Order Number] has been expired [Expiration Reason]"". To accepted Client: ""Your [Brand Name] [Campaign Name] brand request [Order Number] has been expired [Expiration Reason]"""
Brand Request,Admin copy — a brand request expires,"Title: ""Brand Request Expired"". Body: ""[Brand Name] [Campaign Name] brand request [Order Number] has been expired [Expiration Reason]"""
Brand Request,A brand cancels its own request,"Title: ""Brand Request Cancelled"". To Brand recipients: ""[Brand Name] cancelled your Campaign: [Campaign Name] [Order Number] [Reason]"". To eligible Clients: ""Your Campaign [Campaign Name] [Order Number] has been cancelled [Reason] by [Brand Name]"". To Artist pool: ""[Brand Name] cancelled Campaign [Campaign Name] [Order Number] [Reason] for [Client Name]"""
Brand Request,Admin copy — a brand cancels its own request,"Title: ""Brand Request Cancelled"". Body: ""[Brand Name] cancelled Campaign [Campaign Name] [Order Number] [Reason]"""
Brand Request,An accepted client cancels a brand request via timeout,"Title: ""Brand Request Cancelled"". To Brand: ""Your [Campaign Name] brand request [Order Number] has been cancelled [Cancellation Reason]"". To Client: ""Your [Brand Name] [Campaign Name] brand request [Order Number] has been cancelled [Cancellation Reason]"""
Brand Request,Admin copy — a brand request is cancelled by timeout,"Title: ""Brand Request Cancelled"". Body: ""[Brand Name] [Campaign Name] brand request [Order Number] has been cancelled [Cancellation Reason]"""
Brand Request,A client explicitly cancels a brand request,"Title: ""Brand Request Cancelled"". To Brand: ""[Client Name] cancelled your [Campaign Name] brand request [Order Number] [Reason]"". To Artist pool: ""[Client Name] cancelled the [Brand Name] [Campaign Name] brand request [Order Number] [Reason]"""
Brand Request,Admin copy — a client cancels a brand request,"Title: ""Brand Request Cancelled"". Body: ""[Client Name] cancelled the [Brand Name] [Campaign Name] brand request [Order Number] [Reason]"""
Registration,A new client account registers (admin alert),"Title: ""New User Registered"". Body: ""New Client: [Client Name] registered"""
Registration,A new artist/brand/client-artist account registers,No notification currently exists for these roles.
Registration,User is on the email-verification-pending screen (on-screen only, not a saved notification),"""Verification email sent."" / ""Failed to resend verification email."""
Ambassador/Payout,A client who is an ambassador has no payout method on file,"Title: ""Payout method required"". Body: ""Please update your payout method in your profile."""
Email,Order shipped (non-brand order),"Subject: ""Your order has shipped — #[Order Number]"""
Email,Brand order shipped,"Subject: ""Your [Campaign Name] order has shipped — #[Order Number]"""
Email,Shipment confirmation copy sent to the artist,"Subject: ""Shipment confirmed — order #[Order Number]"" (or) ""Shipment confirmed — [Campaign Name] order #[Order Number]"""
Email,Campaign shipped notice sent to the brand contact,"Subject: ""[Campaign Name] order has shipped — #[Order Number]"""
Email,Order delivered — review/tip prompt,"Subject: ""Your order has arrived — rate & tip [Artist Name]?"""
SMS,"Design completed, awaiting client accept/decline","""JNT: Your completed design for order [Order Number] is ready for review. Please accept or decline in the app."""
SMS,Order delivered — review/tip reminder,"""JNT: Your order was delivered. Open the app to leave your review and tip."""
